row,col,r,c,value,status
"Alt Camp",Població,1,1,44296,
"Alt Camp","Superfície km²",1,2,538,
"Alt Camp","Densitat (habitants/km²)",1,3,82.3,
"Alt Empordà",Població,2,1,141339,
"Alt Empordà","Superfície km²",2,2,1358,
"Alt Empordà","Densitat (habitants/km²)",2,3,104.1,
"Alt Penedès",Població,3,1,108411,
"Alt Penedès","Superfície km²",3,2,593,
"Alt Penedès","Densitat (habitants/km²)",3,3,182.9,
"Alt Urgell",Població,4,1,20177,
"Alt Urgell","Superfície km²",4,2,1447,
"Alt Urgell","Densitat (habitants/km²)",4,3,13.9,
"Alta Ribagorça",Població,5,1,3802,
"Alta Ribagorça","Superfície km²",5,2,427,
"Alta Ribagorça","Densitat (habitants/km²)",5,3,8.9,
Anoia,Població,6,1,120738,
Anoia,"Superfície km²",6,2,866,
Anoia,"Densitat (habitants/km²)",6,3,139.4,
Aran,Població,7,1,10093,
Aran,"Superfície km²",7,2,634,
Aran,"Densitat (habitants/km²)",7,3,15.9,
Bages,Població,8,1,178885,
Bages,"Superfície km²",8,2,1092,
Bages,"Densitat (habitants/km²)",8,3,163.8,
"Baix Camp",Població,9,1,190973,
"Baix Camp","Superfície km²",9,2,697,
"Baix Camp","Densitat (habitants/km²)",9,3,273.9,
"Baix Ebre",Població,10,1,77596,
"Baix Ebre","Superfície km²",10,2,1003,
"Baix Ebre","Densitat (habitants/km²)",10,3,77.4,
"Baix Empordà",Població,11,1,134359,
"Baix Empordà","Superfície km²",11,2,702,
"Baix Empordà","Densitat (habitants/km²)",11,3,191.5,
"Baix Llobregat",Població,12,1,825963,
"Baix Llobregat","Superfície km²",12,2,486,
"Baix Llobregat","Densitat (habitants/km²)",12,3,1699.6,
"Baix Penedès",Població,13,1,104991,
"Baix Penedès","Superfície km²",13,2,296,
"Baix Penedès","Densitat (habitants/km²)",13,3,354.2,
Barcelonès,Població,14,1,2278437,
Barcelonès,"Superfície km²",14,2,146,
Barcelonès,"Densitat (habitants/km²)",14,3,15632.5,
Berguedà,Població,15,1,39446,
Berguedà,"Superfície km²",15,2,1185,
Berguedà,"Densitat (habitants/km²)",15,3,33.3,
Cerdanya,Població,16,1,18192,
Cerdanya,"Superfície km²",16,2,547,
Cerdanya,"Densitat (habitants/km²)",16,3,33.3,
"Conca de Barberà",Població,17,1,20042,
"Conca de Barberà","Superfície km²",17,2,650,
"Conca de Barberà","Densitat (habitants/km²)",17,3,30.8,
Garraf,Població,18,1,150887,
Garraf,"Superfície km²",18,2,185,
Garraf,"Densitat (habitants/km²)",18,3,815.1,
Garrigues,Població,19,1,18833,
Garrigues,"Superfície km²",19,2,798,
Garrigues,"Densitat (habitants/km²)",19,3,23.6,
Garrotxa,Població,20,1,57590,
Garrotxa,"Superfície km²",20,2,735,
Garrotxa,"Densitat (habitants/km²)",20,3,78.4,
Gironès,Població,21,1,193908,
Gironès,"Superfície km²",21,2,576,
Gironès,"Densitat (habitants/km²)",21,3,336.9,
Lluçanès,Població,22,1,,..
Lluçanès,"Superfície km²",22,2,,..
Lluçanès,"Densitat (habitants/km²)",22,3,,..
Maresme,Població,23,1,452690,
Maresme,"Superfície km²",23,2,399,
Maresme,"Densitat (habitants/km²)",23,3,1135.9,
Moianès,Població,24,1,13603,
Moianès,"Superfície km²",24,2,338,
Moianès,"Densitat (habitants/km²)",24,3,40.3,
Montsià,Població,25,1,67436,
Montsià,"Superfície km²",25,2,735,
Montsià,"Densitat (habitants/km²)",25,3,91.7,
Noguera,Població,26,1,38770,
Noguera,"Superfície km²",26,2,1784,
Noguera,"Densitat (habitants/km²)",26,3,21.7,
Osona,Població,27,1,160821,
Osona,"Superfície km²",27,2,1245,
Osona,"Densitat (habitants/km²)",27,3,129.2,
"Pallars Jussà",Població,28,1,13080,
"Pallars Jussà","Superfície km²",28,2,1343,
"Pallars Jussà","Densitat (habitants/km²)",28,3,9.7,
"Pallars Sobirà",Població,29,1,6932,
"Pallars Sobirà","Superfície km²",29,2,1378,
"Pallars Sobirà","Densitat (habitants/km²)",29,3,5,
"Pla d'Urgell",Població,30,1,36693,
"Pla d'Urgell","Superfície km²",30,2,305,
"Pla d'Urgell","Densitat (habitants/km²)",30,3,120.3,
"Pla de l'Estany",Població,31,1,32293,
"Pla de l'Estany","Superfície km²",31,2,263,
"Pla de l'Estany","Densitat (habitants/km²)",31,3,122.9,
Priorat,Població,32,1,9245,
Priorat,"Superfície km²",32,2,499,
Priorat,"Densitat (habitants/km²)",32,3,18.5,
"Ribera d'Ebre",Població,33,1,21865,
"Ribera d'Ebre","Superfície km²",33,2,827,
"Ribera d'Ebre","Densitat (habitants/km²)",33,3,26.4,
Ripollès,Població,34,1,25087,
Ripollès,"Superfície km²",34,2,957,
Ripollès,"Densitat (habitants/km²)",34,3,26.2,
Segarra,Població,35,1,23052,
Segarra,"Superfície km²",35,2,723,
Segarra,"Densitat (habitants/km²)",35,3,31.9,
Segrià,Població,36,1,209818,
Segrià,"Superfície km²",36,2,1397,
Segrià,"Densitat (habitants/km²)",36,3,150.2,
Selva,Població,37,1,171617,
Selva,"Superfície km²",37,2,995,
Selva,"Densitat (habitants/km²)",37,3,172.5,
Solsonès,Població,38,1,13469,
Solsonès,"Superfície km²",38,2,1001,
Solsonès,"Densitat (habitants/km²)",38,3,13.5,
Tarragonès,Població,39,1,256730,
Tarragonès,"Superfície km²",39,2,319,
Tarragonès,"Densitat (habitants/km²)",39,3,803.9,
"Terra Alta",Població,40,1,11490,
"Terra Alta","Superfície km²",40,2,743,
"Terra Alta","Densitat (habitants/km²)",40,3,15.5,
Urgell,Població,41,1,36693,
Urgell,"Superfície km²",41,2,580,
Urgell,"Densitat (habitants/km²)",41,3,63.3,
"Vallès Occidental",Població,42,1,925237,
"Vallès Occidental","Superfície km²",42,2,583,
"Vallès Occidental","Densitat (habitants/km²)",42,3,1586.7,
"Vallès Oriental",Població,43,1,409638,
"Vallès Oriental","Superfície km²",43,2,735,
"Vallès Oriental","Densitat (habitants/km²)",43,3,557.3,
Catalunya,Població,44,1,7675217,
Catalunya,"Superfície km²",44,2,32108,
Catalunya,"Densitat (habitants/km²)",44,3,239,
Metropolità,Població,45,1,4895876,
Metropolità,"Superfície km²",45,2,2464,
Metropolità,"Densitat (habitants/km²)",45,3,1986.7,
"Comarques Gironines",Població,46,1,756193,
"Comarques Gironines","Superfície km²",46,2,5584,
"Comarques Gironines","Densitat (habitants/km²)",46,3,135.4,
"Camp de Tarragona",Població,47,1,521286,
"Camp de Tarragona","Superfície km²",47,2,2703,
"Camp de Tarragona","Densitat (habitants/km²)",47,3,192.8,
"Terres de l'Ebre",Població,48,1,178387,
"Terres de l'Ebre","Superfície km²",48,2,3308,
"Terres de l'Ebre","Densitat (habitants/km²)",48,3,53.9,
Ponent,Població,49,1,363859,
Ponent,"Superfície km²",49,2,5586,
Ponent,"Densitat (habitants/km²)",49,3,65.1,
"Comarques Centrals",Població,50,1,407606,
"Comarques Centrals","Superfície km²",50,2,4941,
"Comarques Centrals","Densitat (habitants/km²)",50,3,82.5,
"Alt Pirineu i Aran",Població,51,1,72276,
"Alt Pirineu i Aran","Superfície km²",51,2,5776,
